DETAILED RESULTS FOR LLAMA3.2
================================================================================

MCQ EVALUATION RESULTS
--------------------------------------------------

Dataset: CVE
  Total questions: 2000
  Correct answers: 450
  Incorrect answers: 1550
  Accuracy: 22.50%

  Incorrect Answers:
  Question   Ground Truth    Model Answer   
  353        B               A              
  354        B               A              
  355        B               A              
  358        C               A              
  359        B               A              
  360        B               A              
  361        B               A              
  362        B               A              
  363        B               A              
  364        B               A              
  367        D               A              
  368        C               A              
  369        D               C              
  370        C               B              
  371        A               C              
  372        D               B              
  373        C               A              
  374        B               C              
  376        B               A              
  377        C               A              
  378        D               A              
  379        C               A              
  380        D               C              
  381        B               C              
  382        B               A              
  383        D               A              
  384        D               B              
  385        D               A              
  386        D               B              
  388        B               A              
  389        B               A              
  391        B               A              
  392        D               A              
  394        C               A              
  395        D               A              
  396        D               A              
  398        D               C              
  399        D               A              
  400        B               A              
  401        B               A              
  403        A               B              
  405        A               C              
  406        A               C              
  407        D               C              
  408        B               A              
  409        B               A              
  410        A               C              
  412        B               A              
  413        B               A              
  414        C               A              
  416        D               B              
  417        D               A              
  418        B               A              
  419        D               A              
  420        C               A              
  423        D               C              
  424        D               C              
  426        C               A              
  427        B               A              
  428        D               C              
  429        B               C              
  430        D               A              
  431        C               A              
  432        C               A              
  433        D               C              
  436        C               A              
  437        C               A              
  438        B               A              
  439        B               C              
  443        C               A              
  444        B               A              
  445        D               A              
  446        D               A              
  447        A               C              
  450        D               A              
  451        A               B              
  452        C               B              
  454        B               A              
  455        D               A              
  456        C               A              
  457        C               A              
  458        C               A              
  459        B               A              
  460        D               A              
  461        C               A              
  462        C               A              
  468        A               C              
  470        C               A              
  471        B               A              
  472        B               A              
  473        A               B              
  474        B               A              
  475        B               A              
  476        B               A              
  477        B               A              
  478        C               A              
  479        D               A              
  480        C               A              
  481        C               B              
  483        C               A              
  484        D               A              
  485        D               C              
  486        B               A              
  487        D               C              
  489        B               A              
  490        D               A              
  491        B               A              
  492        C               A              
  493        C               A              
  494        C               A              
  495        D               A              
  496        C               A              
  497        D               A              
  498        B               A              
  500        B               A              
  501        C               A              
  502        A               B              
  503        C               A              
  504        D               A              
  506        D               A              
  507        C               A              
  508        D               A              
  509        C               A              
  510        C               A              
  513        C               A              
  514        B               A              
  515        D               A              
  516        D               B              
  517        C               B              
  519        B               A              
  520        C               A              
  521        D               A              
  523        D               A              
  525        B               A              
  526        B               A              
  527        B               C              
  528        C               A              
  530        C               A              
  531        D               A              
  532        C               A              
  533        C               A              
  535        A               C              
  536        D               A              
  537        D               A              
  538        A               C              
  539        D               C              
  541        B               A              
  542        D               A              
  543        B               A              
  544        C               B              
  545        D               A              
  546        B               A              
  547        A               B              
  548        D               A              
  549        C               A              
  551        B               A              
  553        D               C              
  554        B               C              
  555        C               A              
  556        B               A              
  557        B               A              
  558        C               A              
  559        D               A              
  560        D               A              
  561        A               C              
  562        C               A              
  563        D               A              
  564        D               B              
  565        C               A              
  566        D               A              
  568        C               B              
  569        C               A              
  570        B               A              
  571        D               A              
  573        C               A              
  575        B               A              
  576        D               A              
  577        B               A              
  578        D               A              
  581        A               C              
  582        B               C              
  583        D               A              
  584        B               C              
  585        C               A              
  586        B               C              
  587        D               C              
  588        B               A              
  589        D               A              
  590        D               A              
  592        D               A              
  594        A               B              
  596        B               A              
  597        B               A              
  598        D               A              
  599        C               A              
  600        D               B              
  601        C               B              
  602        A               C              
  603        D               A              
  604        D               A              
  606        C               A              
  607        A               C              
  608        C               A              
  609        C               A              
  610        B               A              
  612        B               A              
  613        D               C              
  614        D               C              
  615        D               A              
  617        C               A              
  619        C               B              
  620        D               A              
  622        B               A              
  625        C               A              
  626        D               C              
  628        D               A              
  632        A               B              
  634        B               A              
  635        B               A              
  636        D               C              
  640        C               A              
  641        D               A              
  644        B               A              
  645        A               B              
  647        C               A              
  648        D               A              
  649        B               A              
  650        B               A              
  651        A               C              
  652        B               A              
  654        B               A              
  655        D               C              
  656        D               A              
  657        A               B              
  658        A               C              
  659        D               A              
  660        D               A              
  661        D               A              
  662        C               A              
  663        C               A              
  665        C               A              
  666        D               B              
  669        D               A              
  671        D               B              
  672        B               A              
  673        D               A              
  677        D               A              
  678        A               C              
  679        B               A              
  681        D               A              
  682        B               A              
  683        B               A              
  684        D               A              
  685        C               B              
  686        C               A              
  687        D               A              
  688        D               A              
  689        D               A              
  690        D               A              
  691        A               B              
  692        B               A              
  693        D               A              
  694        D               A              
  695        A               B              
  696        C               A              
  697        C               A              
  699        D               A              
  700        A               C              
  701        B               C              
  702        A               C              
  703        D               B              
  705        B               A              
  706        D               B              
  707        C               A              
  709        C               A              
  710        A               C              
  711        B               C              
  712        B               A              
  713        C               A              
  714        D               A              
  716        B               A              
  717        D               B              
  718        B               C              
  719        C               D              
  721        B               A              
  722        B               D              
  723        B               A              
  724        A               C              
  726        C               A              
  727        B               A              
  728        A               B              
  729        D               A              
  730        D               C              
  732        C               A              
  733        B               A              
  734        D               B              
  735        B               A              
  736        B               A              
  737        D               A              
  739        B               A              
  741        C               B              
  742        A               C              
  743        C               A              
  744        B               A              
  745        C               A              
  747        D               A              
  748        B               A              
  749        D               A              
  750        D               A              
  751        B               A              
  752        A               C              
  753        A               B              
  754        C               A              
  758        D               A              
  759        D               A              
  760        D               A              
  761        A               C              
  762        A               C              
  763        D               A              
  765        A               B              
  766        C               A              
  767        B               A              
  768        B               C              
  770        B               A              
  771        A               C              
  772        B               C              
  773        B               A              
  774        D               A              
  775        B               A              
  776        D               A              
  777        A               B              
  778        C               A              
  780        B               A              
  781        A               B              
  782        D               C              
  784        B               A              
  786        C               A              
  788        B               A              
  789        C               B              
  792        C               B              
  793        B               D              
  795        B               C              
  796        C               A              
  797        B               A              
  798        D               A              
  799        B               A              
  800        A               B              
  801        D               A              
  802        C               A              
  804        C               A              
  805        D               A              
  806        C               A              
  807        D               A              
  810        A               B              
  811        C               B              
  812        B               C              
  813        C               A              
  816        C               A              
  817        D               B              
  818        B               A              
  820        B               C              
  821        C               A              
  822        B               A              
  823        A               B              
  825        D               A              
  827        B               D              
  828        B               A              
  829        D               C              
  831        B               A              
  834        C               A              
  835        D               A              
  837        D               A              
  839        C               B              
  840        D               C              
  841        C               B              
  842        B               C              
  843        D               C              
  844        C               B              
  845        D               A              
  846        D               A              
  847        B               A              
  848        D               C              
  850        C               A              
  851        D               A              
  852        A               C              
  853        C               A              
  854        A               B              
  855        D               A              
  856        D               A              
  858        A               C              
  861        D               C              
  862        B               A              
  863        D               C              
  864        D               A              
  866        D               A              
  867        C               A              
  868        C               A              
  869        C               B              
  871        A               C              
  873        B               A              
  874        B               C              
  876        C               B              
  877        D               A              
  878        D               A              
  880        D               A              
  881        A               C              
  882        A               C              
  883        C               A              
  884        A               C              
  885        C               A              
  888        C               A              
  889        C               A              
  890        B               A              
  894        B               A              
  895        D               A              
  896        B               A              
  897        B               A              
  898        C               A              
  899        D               A              
  900        A               B              
  901        D               B              
  902        C               A              
  903        D               A              
  904        B               A              
  906        B               C              
  907        D               A              
  908        C               A              
  909        C               A              
  910        C               A              
  911        C               A              
  912        C               B              
  913        B               A              
  914        C               A              
  915        C               A              
  916        C               B              
  917        B               C              
  919        D               A              
  921        C               A              
  922        D               A              
  923        B               A              
  924        C               A              
  925        D               A              
  926        C               A              
  927        B               A              
  928        C               A              
  929        B               A              
  933        B               A              
  934        A               C              
  936        B               A              
  937        D               A              
  938        D               C              
  940        C               A              
  941        A               C              
  942        B               A              
  943        B               A              
  944        D               A              
  945        B               A              
  946        D               B              
  947        D               A              
  949        B               A              
  950        B               A              
  951        C               A              
  952        B               C              
  953        C               A              
  954        D               A              
  956        B               A              
  959        B               C              
  960        A               B              
  961        C               A              
  963        D               A              
  964        C               A              
  965        C               A              
  966        C               A              
  969        A               C              
  970        D               A              
  972        B               C              
  973        C               A              
  974        C               A              
  975        C               A              
  976        C               A              
  977        B               A              
  978        C               A              
  979        C               A              
  980        A               C              
  981        C               B              
  982        D               B              
  984        A               B              
  986        D               C              
  988        C               A              
  989        C               A              
  990        B               A              
  991        B               A              
  992        B               C              
  993        B               C              
  994        C               A              
  995        D               C              
  996        C               A              
  997        B               C              
  998        B               C              
  999        B               A              
  1000       A               B              
  1001       D               B              
  1002       C               A              
  1003       C               A              
  1007       B               A              
  1008       D               A              
  1009       C               A              
  1010       C               A              
  1011       D               A              
  1013       C               A              
  1014       D               A              
  1015       D               A              
  1016       B               A              
  1018       A               C              
  1019       D               C              
  1020       B               A              
  1021       B               A              
  1023       D               C              
  1025       D               A              
  1026       D               A              
  1029       C               A              
  1030       A               B              
  1031       C               A              
  1032       D               C              
  1035       C               A              
  1036       D               A              
  1037       B               A              
  1038       A               C              
  1039       C               A              
  1040       B               A              
  1042       D               B              
  1043       D               A              
  1045       B               A              
  1046       D               C              
  1047       C               A              
  1048       D               C              
  1049       D               A              
  1050       D               A              
  1051       D               B              
  1052       C               A              
  1053       B               A              
  1055       B               A              
  1056       C               B              
  1057       D               A              
  1058       B               A              
  1060       D               A              
  1061       D               A              
  1062       B               A              
  1063       B               A              
  1065       D               A              
  1066       D               A              
  1067       B               A              
  1068       D               A              
  1069       D               A              
  1070       A               B              
  1072       A               B              
  1073       C               A              
  1074       D               C              
  1075       A               B              
  1076       B               A              
  1078       A               C              
  1080       B               A              
  1081       C               A              
  1082       A               C              
  1085       C               A              
  1086       C               A              
  1087       C               A              
  1089       C               A              
  1090       D               A              
  1092       C               B              
  1093       D               A              
  1095       C               A              
  1097       C               A              
  1098       C               A              
  1099       C               A              
  1101       D               A              
  1103       D               C              
  1104       A               C              
  1105       D               B              
  1106       C               A              
  1107       D               A              
  1108       B               C              
  1109       C               D              
  1110       C               A              
  1111       D               A              
  1112       C               A              
  1113       B               A              
  1114       C               A              
  1115       D               C              
  1116       B               A              
  1117       B               C              
  1118       C               A              
  1119       A               C              
  1120       A               B              
  1122       D               A              
  1123       C               A              
  1125       C               A              
  1129       C               A              
  1130       B               A              
  1131       D               C              
  1133       C               A              
  1134       B               C              
  1135       B               A              
  1136       D               A              
  1137       C               A              
  1139       C               A              
  1140       B               A              
  1141       A               B              
  1144       A               C              
  1145       A               B              
  1147       C               A              
  1148       B               A              
  1151       A               B              
  1152       D               A              
  1153       B               A              
  1155       B               A              
  1156       D               A              
  1157       D               C              
  1159       D               A              
  1160       B               A              
  1161       A               B              
  1162       D               A              
  1163       D               A              
  1164       D               A              
  1165       B               A              
  1166       B               A              
  1167       A               C              
  1168       A               C              
  1171       C               A              
  1172       D               A              
  1173       C               A              
  1176       D               A              
  1179       D               A              
  1180       B               C              
  1181       B               A              
  1182       C               A              
  1183       C               A              
  1184       C               A              
  1185       B               A              
  1186       D               A              
  1187       A               C              
  1188       C               B              
  1189       C               A              
  1190       B               A              
  1192       B               A              
  1193       B               A              
  1194       D               C              
  1195       D               A              
  1199       C               A              
  1200       D               A              
  1202       C               A              
  1203       D               C              
  1204       C               A              
  1205       A               C              
  1206       B               A              
  1207       A               C              
  1208       B               C              
  1209       D               A              
  1210       C               A              
  1211       B               A              
  1212       C               A              
  1213       A               B              
  1215       B               C              
  1216       D               A              
  1217       C               B              
  1218       B               A              
  1219       B               A              
  1220       B               A              
  1222       D               C              
  1223       A               C              
  1225       D               B              
  1226       D               A              
  1228       D               C              
  1229       C               A              
  1231       D               A              
  1232       A               D              
  1233       D               A              
  1235       B               A              
  1236       D               A              
  1238       A               C              
  1239       D               A              
  1240       C               A              
  1241       D               A              
  1242       D               A              
  1244       D               B              
  1246       B               A              
  1248       B               A              
  1249       C               A              
  1251       D               A              
  1252       D               C              
  1253       B               A              
  1254       D               B              
  1255       B               A              
  1256       C               A              
  1257       B               A              
  1258       B               A              
  1260       C               A              
  1261       D               A              
  1262       D               A              
  1263       B               A              
  1264       C               A              
  1265       A               B              
  1266       D               C              
  1268       B               C              
  1269       C               A              
  1270       D               A              
  1271       C               A              
  1272       B               C              
  1273       B               A              
  1274       D               A              
  1276       D               B              
  1278       D               A              
  1279       B               A              
  1281       C               A              
  1282       D               C              
  1283       D               C              
  1284       D               A              
  1285       C               A              
  1286       B               A              
  1287       A               B              
  1288       B               A              
  1289       C               A              
  1290       A               B              
  1291       D               A              
  1292       D               A              
  1293       C               A              
  1294       D               A              
  1295       B               A              
  1296       B               A              
  1297       A               C              
  1298       C               A              
  1299       C               A              
  1300       C               A              
  1301       B               C              
  1302       B               A              
  1303       B               A              
  1305       B               A              
  1306       B               A              
  1308       D               B              
  1309       D               A              
  1310       A               B              
  1312       B               A              
  1313       B               A              
  1314       C               A              
  1316       B               A              
  1318       D               C              
  1319       C               B              
  1320       D               A              
  1322       B               C              
  1323       D               B              
  1324       A               C              
  1325       B               A              
  1326       C               B              
  1328       D               A              
  1330       C               A              
  1332       B               A              
  1333       D               A              
  1334       D               B              
  1335       C               A              
  1336       D               B              
  1337       D               C              
  1338       A               C              
  1340       B               C              
  1341       A               C              
  1342       B               A              
  1343       D               A              
  1344       A               C              
  1345       B               A              
  1346       C               A              
  1347       C               A              
  1349       A               C              
  1350       B               A              
  1352       B               A              
  1353       D               A              
  1354       B               A              
  1355       B               A              
  1356       B               A              
  1358       D               A              
  1360       B               A              
  1361       B               A              
  1362       D               C              
  1363       C               A              
  1365       C               B              
  1367       A               C              
  1368       D               A              
  1369       C               A              
  1371       C               A              
  1372       A               B              
  1373       C               A              
  1375       D               B              
  1376       B               A              
  1378       D               A              
  1379       D               A              
  1380       D               C              
  1381       D               A              
  1382       A               C              
  1383       B               A              
  1387       A               C              
  1388       C               A              
  1389       D               A              
  1390       D               A              
  1392       B               A              
  1393       B               C              
  1394       A               C              
  1395       D               A              
  1396       C               A              
  1397       C               A              
  1398       A               C              
  1399       B               A              
  1400       B               A              
  1401       B               C              
  1402       D               A              
  1405       B               A              
  1406       B               A              
  1407       C               B              
  1408       C               A              
  1410       A               B              
  1411       D               A              
  1412       D               A              
  1413       C               A              
  1414       C               A              
  1417       D               A              
  1418       D               A              
  1419       C               A              
  1420       D               A              
  1421       D               A              
  1422       C               A              
  1424       D               A              
  1425       D               A              
  1426       D               A              
  1427       C               D              
  1429       B               A              
  1430       B               A              
  1431       B               A              
  1432       B               A              
  1433       C               A              
  1434       A               B              
  1435       B               C              
  1436       C               A              
  1437       B               A              
  1439       B               A              
  1440       B               A              
  1441       D               B              
  1442       A               C              
  1443       B               A              
  1444       B               A              
  1446       D               A              
  1447       B               A              
  1448       C               A              
  1449       B               A              
  1450       C               A              
  1451       B               D              
  1453       B               A              
  1454       D               B              
  1455       B               A              
  1457       A               C              
  1461       D               C              
  1462       D               C              
  1464       C               B              
  1465       D               A              
  1466       D               C              
  1467       B               A              
  1468       B               A              
  1469       D               B              
  1470       B               A              
  1471       C               B              
  1472       D               A              
  1473       D               C              
  1475       C               A              
  1477       D               A              
  1478       D               A              
  1479       B               A              
  1480       B               A              
  1481       D               A              
  1482       C               A              
  1483       C               A              
  1486       C               A              
  1488       B               A              
  1489       B               A              
  1490       C               A              
  1491       C               A              
  1492       D               A              
  1493       C               A              
  1494       C               A              
  1495       B               A              
  1496       B               A              
  1497       B               A              
  1498       B               A              
  1499       A               C              
  1500       D               B              
  1501       B               A              
  1503       D               B              
  1504       B               A              
  1505       D               A              
  1506       C               A              
  1507       D               A              
  1508       B               A              
  1510       C               A              
  1511       B               A              
  1512       A               C              
  1513       B               A              
  1514       C               A              
  1515       B               A              
  1516       B               A              
  1517       D               B              
  1518       B               A              
  1519       D               C              
  1520       B               A              
  1521       C               A              
  1523       C               A              
  1524       B               A              
  1526       B               C              
  1527       A               C              
  1528       D               B              
  1529       D               A              
  1532       B               A              
  1535       B               A              
  1536       D               A              
  1538       C               A              
  1539       B               A              
  1540       D               B              
  1541       B               A              
  1542       A               B              
  1543       C               A              
  1544       D               A              
  1545       B               C              
  1546       B               A              
  1548       B               A              
  1549       B               A              
  1550       B               A              
  1551       B               A              
  1552       C               A              
  1553       C               A              
  1554       C               B              
  1556       B               A              
  1557       C               B              
  1558       C               A              
  1559       C               A              
  1560       B               A              
  1561       C               A              
  1562       C               A              
  1563       A               C              
  1565       A               B              
  1567       D               A              
  1569       C               A              
  1570       D               A              
  1571       D               B              
  1572       D               A              
  1573       D               A              
  1575       C               A              
  1577       B               A              
  1579       A               C              
  1580       D               B              
  1583       B               C              
  1587       C               A              
  1590       B               C              
  1591       D               A              
  1592       B               A              
  1593       D               A              
  1594       B               C              
  1598       C               A              
  1599       B               A              
  1600       A               B              
  1601       C               A              
  1603       A               D              
  1604       D               A              
  1606       C               A              
  1607       C               B              
  1608       B               A              
  1609       D               C              
  1610       C               A              
  1611       C               A              
  1613       C               A              
  1614       C               A              
  1615       C               A              
  1616       B               A              
  1618       C               B              
  1620       D               C              
  1621       C               A              
  1622       C               A              
  1623       A               B              
  1624       B               A              
  1625       B               A              
  1627       D               A              
  1628       A               C              
  1629       C               A              
  1633       B               A              
  1635       D               A              
  1636       D               B              
  1637       B               A              
  1638       D               A              
  1639       B               C              
  1640       B               C              
  1641       A               C              
  1642       D               A              
  1645       C               A              
  1646       D               A              
  1647       D               A              
  1650       D               A              
  1651       B               A              
  1652       C               A              
  1653       D               A              
  1654       B               C              
  1655       C               D              
  1656       D               A              
  1660       C               A              
  1661       D               A              
  1662       D               A              
  1663       D               A              
  1664       D               A              
  1665       D               A              
  1666       B               A              
  1667       B               A              
  1668       A               C              
  1669       D               A              
  1670       C               A              
  1671       D               A              
  1672       B               C              
  1674       D               B              
  1675       B               A              
  1676       B               A              
  1677       B               A              
  1679       C               A              
  1680       B               D              
  1681       D               A              
  1682       D               B              
  1683       A               C              
  1685       A               C              
  1686       D               A              
  1687       A               C              
  1688       A               D              
  1689       C               A              
  1690       B               A              
  1691       B               A              
  1692       D               A              
  1693       B               A              
  1694       B               C              
  1696       D               C              
  1697       D               C              
  1699       B               C              
  1700       B               A              
  1701       B               A              
  1703       D               B              
  1704       C               A              
  1705       D               A              
  1706       B               A              
  1707       C               A              
  1708       D               A              
  1709       B               C              
  1710       D               A              
  1711       B               C              
  1712       C               A              
  1713       D               B              
  1714       A               C              
  1715       B               C              
  1716       C               A              
  1717       D               A              
  1719       B               C              
  1720       D               A              
  1721       C               B              
  1722       C               A              
  1723       D               A              
  1725       C               A              
  1726       A               B              
  1728       D               B              
  1730       D               A              
  1731       B               C              
  1733       A               C              
  1734       D               A              
  1735       B               A              
  1736       C               A              
  1737       D               A              
  1739       D               B              
  1741       B               C              
  1742       B               A              
  1746       D               A              
  1747       D               A              
  1748       B               A              
  1749       D               B              
  1750       B               A              
  1751       B               D              
  1752       B               A              
  1753       C               A              
  1754       B               A              
  1758       A               C              
  1759       D               B              
  1760       C               A              
  1761       B               A              
  1762       A               B              
  1763       B               A              
  1764       B               A              
  1766       D               A              
  1767       D               A              
  1768       A               B              
  1770       D               C              
  1771       C               A              
  1772       D               B              
  1773       D               A              
  1774       C               A              
  1775       A               B              
  1776       B               A              
  1777       C               A              
  1779       C               A              
  1780       C               A              
  1781       B               A              
  1782       B               A              
  1783       A               C              
  1786       C               A              
  1788       B               C              
  1790       D               A              
  1791       B               C              
  1792       C               B              
  1793       D               A              
  1794       B               A              
  1795       C               A              
  1796       B               A              
  1798       C               A              
  1799       D               A              
  1801       D               A              
  1802       B               C              
  1803       C               A              
  1804       C               A              
  1805       D               A              
  1806       C               B              
  1807       C               B              
  1808       D               A              
  1809       D               C              
  1810       B               A              
  1811       C               A              
  1813       A               C              
  1814       A               B              
  1815       B               A              
  1816       A               C              
  1817       C               A              
  1818       D               C              
  1819       D               A              
  1820       A               C              
  1821       D               C              
  1822       D               A              
  1823       C               B              
  1824       C               A              
  1825       D               C              
  1827       D               A              
  1828       B               C              
  1829       D               A              
  1830       C               A              
  1831       B               A              
  1832       B               A              
  1833       D               C              
  1834       B               A              
  1835       C               A              
  1837       B               A              
  1838       D               C              
  1840       B               C              
  1841       A               C              
  1843       D               A              
  1844       B               A              
  1845       B               C              
  1846       D               A              
  1847       D               A              
  1848       C               B              
  1850       C               A              
  1852       D               B              
  1853       C               B              
  1854       B               A              
  1855       B               C              
  1858       D               A              
  1859       D               A              
  1860       A               B              
  1862       D               A              
  1863       B               A              
  1865       C               B              
  1866       B               A              
  1867       C               B              
  1868       C               A              
  1869       C               A              
  1870       B               A              
  1871       C               B              
  1872       B               C              
  1874       D               A              
  1875       C               B              
  1876       C               A              
  1877       B               A              
  1879       C               B              
  1880       B               A              
  1881       B               A              
  1882       C               A              
  1883       D               A              
  1885       C               A              
  1886       B               A              
  1887       D               B              
  1889       B               A              
  1891       A               C              
  1892       C               A              
  1893       B               A              
  1894       B               A              
  1895       A               B              
  1896       C               A              
  1897       D               A              
  1898       D               C              
  1899       B               A              
  1900       B               C              
  1901       D               A              
  1902       C               A              
  1903       B               D              
  1904       A               C              
  1905       A               C              
  1907       D               A              
  1908       D               A              
  1909       D               C              
  1910       D               A              
  1911       A               C              
  1912       C               B              
  1913       C               A              
  1914       B               A              
  1915       C               B              
  1916       B               A              
  1917       C               A              
  1918       A               C              
  1919       C               A              
  1920       B               A              
  1921       B               A              
  1922       B               A              
  1923       B               A              
  1926       B               A              
  1928       C               A              
  1929       B               C              
  1930       B               C              
  1931       A               C              
  1932       B               C              
  1933       A               C              
  1935       B               A              
  1937       C               A              
  1938       C               A              
  1939       D               C              
  1940       A               C              
  1941       D               A              
  1942       A               B              
  1943       C               A              
  1945       A               B              
  1946       C               A              
  1947       C               A              
  1948       D               C              
  1949       C               A              
  1950       A               B              
  1951       D               A              
  1952       A               C              
  1953       B               A              
  1955       B               A              
  1959       D               A              
  1960       B               A              
  1961       C               A              
  1962       A               C              
  1964       B               C              
  1965       B               A              
  1966       B               A              
  1968       A               C              
  1969       A               D              
  1970       D               A              
  1971       B               C              
  1972       B               A              
  1973       B               A              
  1974       A               B              
  1975       C               A              
  1976       A               D              
  1977       B               C              
  1979       C               A              
  1980       B               A              
  1982       D               A              
  1983       C               A              
  1984       B               A              
  1985       D               A              
  1986       D               A              
  1987       B               A              
  1988       D               A              
  1989       B               A              
  1990       B               A              
  1991       D               C              
  1992       B               A              
  1993       C               A              
  1994       C               A              
  1995       B               C              
  1997       B               A              
  1998       B               C              
  1999       A               C              

--------------------------------------------------

Dataset: CWE
  Total questions: 2000
  Correct answers: 502
  Incorrect answers: 1498
  Accuracy: 25.10%

  Incorrect Answers:
  Question   Ground Truth    Model Answer   
  ----------------------------------------
  1          A               D              
  3          C               D              
  5          C               A              
  7          C               A              
  8          A               C              
  11         B               D              
  12         B               A              
  13         B               A              
  14         D               C              
  15         D               A              
  16         B               A              
  17         A               B              
  18         D               C              
  19         C               A              
  20         D               A              
  21         D               C              
  22         C               A              
  23         A               C              
  24         C               A              
  25         B               C              
  27         C               A              
  28         A               C              
  29         B               A              
  31         C               B              
  32         C               A              
  33         B               C              
  34         B               C              
  35         D               C              
  36         C               A              
  37         C               A              
  38         C               D              
  39         C               A              
  41         B               A              
  45         C               A              
  46         A               B              
  48         C               A              
  49         A               D              
  50         B               A              
  51         D               A              
  52         A               D              
  53         A               B              
  54         D               A              
  56         D               C              
  57         A               C              
  58         C               B              
  59         A               C              
  60         B               C              
  64         A               B              
  65         A               C              
  66         D               C              
  67         A               C              
  69         C               A              
