DETAILED RESULTS FOR GEMMA2
================================================================================

MCQ EVALUATION RESULTS
--------------------------------------------------

Dataset: CVE
  Total questions: 2000
  Correct answers: 445
  Incorrect answers: 1555
  Accuracy: 22.25%

  Incorrect Answers:
  Question   Ground Truth    Model Answer   
  330        A               C              
  331        C               A              
  332        D               C              
  333        B               C              
  334        D               C              
  335        C               A              
  336        B               C              
  337        D               C              
  338        D               A              
  340        B               C              
  341        B               A              
  342        A               C              
  343        D               B              
  345        B               C              
  346        A               B              
  347        A               C              
  348        A               B              
  349        D               B              
  351        B               A              
  352        C               D              
  353        B               A              
  354        B               A              
  355        B               C              
  358        C               D              
  359        B               A              
  360        B               C              
  361        B               A              
  362        B               A              
  363        B               A              
  364        B               A              
  365        B               D              
  367        D               A              
  368        C               A              
  369        D               A              
  370        C               B              
  371        A               B              
  372        D               B              
  374        B               C              
  375        A               D              
  376        B               A              
  377        C               B              
  378        D               A              
  379        C               A              
  381        B               A              
  383        D               B              
  385        D               B              
  386        D               B              
  388        B               C              
  389        B               A              
  390        A               D              
  391        B               A              
  392        D               A              
  393        A               B              
  394        C               A              
  396        D               A              
  397        A               C              
  398        D               C              
  400        B               C              
  401        B               A              
  404        A               C              
  405        A               C              
  406        A               C              
  407        D               C              
  410        A               D              
  412        B               D              
  413        B               A              
  414        C               A              
  415        B               A              
  416        D               C              
  417        D               C              
  420        C               B              
  426        C               A              
  427        B               A              
  428        D               B              
  429        B               A              
  430        D               C              
  431        C               D              
  432        C               B              
  433        D               A              
  434        A               D              
  435        A               D              
  437        C               A              
  438        B               A              
  439        B               D              
  440        A               D              
  441        C               A              
  442        A               D              
  443        C               A              
  444        B               C              
  445        D               A              
  446        D               A              
  447        A               C              
  448        A               D              
  450        D               A              
  453        A               D              
  454        B               C              
  455        D               A              
  457        C               D              
  458        C               A              
  459        B               A              
  460        D               C              
  461        C               D              
  462        C               A              
  463        C               A              
  464        A               D              
  465        A               C              
  466        A               D              
  467        A               D              
  468        A               C              
  470        C               D              
  471        B               A              
  472        B               A              
  473        A               C              
  474        B               C              
  475        B               D              
  476        B               D              
  477        B               C              
  479        D               A              
  480        C               A              
  481        C               D              
  483        C               D              
  484        D               A              
  485        D               B              
  486        B               A              
  487        D               A              
  488        A               D              
  489        B               C              
  490        D               A              
  491        B               A              
  493        C               A              
  494        C               A              
  496        C               A              
  497        D               C              
  498        B               A              
  500        B               D              
  501        C               A              
  502        A               B              
  503        C               A              
  504        D               C              
  506        D               C              
  507        C               A              
  508        D               A              
  509        C               B              
  510        C               A              
  512        C               A              
  513        C               A              
  514        B               A              
  515        D               A              
  516        D               B              
  518        A               D              
  519        B               A              
  520        C               D              
  521        D               A              
  523        D               A              
  524        A               C              
  526        B               A              
  527        B               C              
  528        C               B              
  530        C               D              
  531        D               A              
  532        C               D              
  533        C               A              
  534        C               A              
  535        A               C              
  538        A               C              
  539        D               A              
  540        C               B              
  541        B               A              
  542        D               A              
  543        B               A              
  545        D               A              
  546        B               D              
  547        A               C              
  548        D               B              
  549        C               A              
  550        A               C              
  551        B               A              
  552        A               C              
  553        D               A              
  554        B               C              
  555        C               D              
  556        B               C              
  557        B               C              
  558        C               B              
  559        D               A              
  560        D               C              
  561        A               D              
  562        C               A              
  563        D               A              
  564        D               A              
  565        C               A              
  567        C               D              
  568        C               B              
  570        B               A              
  571        D               A              
  572        A               D              
  573        C               A              
  575        B               D              
  576        D               A              
  577        B               A              
  578        D               B              
  581        A               C              
  582        B               C              
  583        D               C              
  584        B               C              
  585        C               A              
  587        D               A              
  588        B               A              
  589        D               C              
  590        D               A              
  593        B               C              
  594        A               B              
  595        A               C              
  596        B               A              
  597        B               A              
  598        D               C              
  599        C               A              
  600        D               C              
  601        C               B              
  602        A               C              
  603        D               A              
  605        A               B              
  606        C               A              
  607        A               B              
  608        C               A              
  609        C               D              
  610        B               A              
  611        A               C              
  612        B               C              
  613        D               A              
  614        D               C              
  615        D               A              
  616        A               C              
  619        C               A              
  620        D               A              
  622        B               C              
  623        C               A              
  624        A               D              
  628        D               A              
  629        A               C              
  630        A               C              
  632        A               D              
  634        B               A              
  635        B               A              
  636        D               C              
  638        A               C              
  640        C               B              
  644        B               C              
  645        A               B              
  646        A               C              
  647        C               A              
  648        D               C              
  649        B               A              
  650        B               A              
  652        B               A              
  653        D               A              
  654        B               A              
  655        D               C              
  656        D               A              
  658        A               B              
  659        D               A              
  660        D               C              
  661        D               A              
  662        C               A              
  663        C               A              
  664        A               C              
  665        C               A              
  666        D               B              
  669        D               A              
  670        B               C              
  672        B               C              
  673        D               C              
  674        A               D              
  675        A               C              
  678        A               D              
  679        B               A              
  680        A               D              
  681        D               A              
  682        B               D              
  683        B               C              
  684        D               B              
  685        C               D              
  686        C               A              
  687        D               B              
  688        D               C              
  689        D               C              
  690        D               B              
  692        B               A              
  693        D               B              
  694        D               A              
  695        A               D              
  696        C               D              
  697        C               A              
  698        C               B              
  699        D               A              
  700        A               C              
  701        B               C              
  702        A               C              
  703        D               B              
  704        B               A              
  705        B               C              
  706        D               B              
  707        C               D              
  709        C               A              
  710        A               D              
  711        B               C              
  712        B               A              
  713        C               D              
  714        D               C              
  717        D               C              
  718        B               C              
  719        C               D              
  720        A               C              
  721        B               C              
  722        B               A              
  723        B               D              
  724        A               C              
  727        B               A              
  729        D               A              
  730        D               C              
  731        C               D              
  732        C               D              
  733        B               D              
  734        D               C              
  735        B               A              
  736        B               A              
  737        D               A              
  738        A               C              
  739        B               A              
  741        C               B              
  742        A               C              
  743        C               A              
  744        B               A              
  745        C               D              
  747        D               A              
  748        B               D              
  749        D               A              
  751        B               A              
  752        A               C              
  753        A               B              
  754        C               A              
  756        A               C              
  757        A               C              
  758        D               A              
  759        D               A              
  760        D               A              
  761        A               C              
  763        D               C              
  765        A               C              
  766        C               A              
  768        B               C              
  771        A               B              
  772        B               A              
  773        B               A              
  774        D               B              
  775        B               C              
  777        A               C              
  778        C               B              
  780        B               A              
  781        A               C              
  782        D               C              
  783        A               C              
  784        B               D              
  786        C               A              
  788        B               A              
  789        C               B              
  790        A               C              
  792        C               B              
  793        B               A              
  795        B               C              
  796        C               A              
  797        B               D              
  798        D               A              
  799        B               A              
  800        A               B              
  801        D               A              
  802        C               A              
  803        A               B              
  804        C               D              
  805        D               C              
  807        D               C              
  808        A               D              
  809        A               B              
  810        A               B              
  811        C               D              
  812        B               C              
  813        C               A              
  814        A               C              
  816        C               A              
  817        D               B              
  818        B               A              
  820        B               C              
  821        C               D              
  822        B               C              
  823        A               C              
  824        B               D              
  827        B               C              
  828        B               C              
  829        D               C              
  830        A               C              
  831        B               A              
  832        B               A              
  834        C               B              
  835        D               C              
  837        D               C              
  838        C               B              
  839        C               B              
  841        C               D              
  842        B               A              
  844        C               A              
  845        D               A              
  846        D               A              
  847        B               C              
  848        D               A              
  850        C               D              
  852        A               B              
  854        A               C              
  857        A               C              
  858        A               B              
  859        A               D              
  860        A               C              
  861        D               A              
  862        B               C              
  863        D               C              
  864        D               A              
  866        D               C              
  867        C               B              
  868        C               A              
  869        C               B              
  871        A               B              
  873        B               D              
  874        B               C              
  875        C               B              
  877        D               A              
  880        D               A              
  882        A               B              
  883        C               A              
  884        A               D              
  885        C               A              
  886        A               C              
  887        A               C              
  888        C               A              
  889        C               B              
  891        A               B              
  893        A               C              
  894        B               C              
  895        D               A              
  896        B               C              
  897        B               D              
  898        C               D              
  899        D               B              
  900        A               D              
  901        D               B              
  902        C               A              
  903        D               A              
  904        B               A              
  905        A               D              
  906        B               A              
  907        D               A              
  909        C               A              
  911        C               A              
  912        C               D              
  913        B               A              
  914        C               A              
  917        B               D              
  919        D               C              
  921        C               A              
  922        D               A              
  925        D               A              
  926        C               A              
  927        B               A              
  928        C               A              
  929        B               D              
  932        C               A              
  933        B               C              
  934        A               C              
  936        B               A              
  937        D               A              
  938        D               A              
  939        B               D              
  940        C               D              
  942        B               C              
  943        B               C              
  944        D               A              
  945        B               A              
  947        D               A              
  948        B               C              
  949        B               D              
  950        B               A              
  951        C               B              
  952        B               A              
  954        D               B              
  955        A               C              
  956        B               A              
  959        B               C              
  960        A               C              
  961        C               A              
  963        D               A              
  964        C               B              
  966        C               D              
  969        A               C              
  970        D               A              
  972        B               C              
  973        C               A              
  974        C               A              
  975        C               A              
  976        C               A              
  979        C               D              
  980        A               C              
  981        C               B              
  982        D               B              
  983        A               C              
  984        A               B              
  986        D               C              
  988        C               D              
  989        C               A              
  990        B               A              
  991        B               A              
  992        B               A              
  993        B               A              
  994        C               D              
  995        D               A              
  996        C               A              
  997        B               C              
  998        B               C              
  999        B               A              
  1000       A               B              
  1001       D               B              
  1002       C               A              
  1007       B               C              
  1008       D               A              
  1009       C               D              
  1014       D               C              
  1015       D               C              
  1016       B               D              
  1017       A               D              
  1018       A               C              
  1019       D               A              
  1020       B               D              
  1021       B               A              
  1022       A               D              
  1024       A               C              
  1025       D               B              
  1026       D               A              
  1027       A               C              
  1028       B               C              
  1029       C               A              
  1030       A               C              
  1032       D               B              
  1034       C               D              
  1035       C               A              
  1036       D               B              
  1037       B               D              
  1038       A               C              
  1039       C               D              
  1040       B               A              
  1042       D               C              
  1043       D               A              
  1045       B               C              
  1046       D               A              
  1047       C               A              
  1049       D               A              
  1050       D               A              
  1052       C               B              
  1053       B               A              
  1054       A               C              
  1055       B               A              
  1056       C               B              
  1057       D               A              
  1058       B               C              
  1059       B               A              
  1060       D               A              
  1061       D               A              
  1062       B               C              
  1063       B               A              
  1064       B               D              
  1067       B               D              
  1068       D               C              
  1069       D               A              
  1070       A               C              
  1071       A               D              
  1072       A               B              
  1073       C               B              
  1074       D               A              
  1075       A               B              
  1076       B               A              
  1077       A               C              
  1078       A               C              
  1079       A               B              
  1080       B               D              
  1081       C               D              
  1082       A               C              
  1083       C               A              
  1084       A               B              
  1085       C               A              
  1086       C               D              
  1087       C               B              
  1088       B               A              
  1089       C               A              
  1090       D               B              
  1091       C               D              
  1092       C               B              
  1093       D               A              
  1094       B               C              
  1095       C               A              
  1097       C               A              
  1098       C               D              
  1099       C               A              
  1101       D               A              
  1103       D               B              
  1105       D               B              
  1106       C               A              
  1107       D               C              
  1108       B               A              
  1109       C               D              
  1111       D               A              
  1112       C               A              
  1113       B               A              
  1114       C               A              
  1115       D               C              
  1116       B               A              
  1117       B               D              
  1118       C               A              
  1119       A               C              
  1120       A               B              
  1122       D               C              
  1125       C               B              
  1126       B               C              
  1127       A               C              
  1129       C               B              
  1130       B               C              
  1134       B               D              
  1135       B               A              
  1137       C               A              
  1139       C               B              
  1140       B               A              
  1141       A               D              
  1145       A               D              
  1147       C               A              
  1148       B               A              
  1149       A               B              
  1150       B               C              
  1152       D               B              
  1153       B               A              
  1155       B               D              
  1156       D               A              
  1157       D               C              
  1159       D               B              
  1160       B               A              
  1161       A               D              
  1163       D               A              
  1164       D               A              
  1165       B               A              
  1166       B               D              
  1167       A               C              
  1168       A               C              
  1169       C               A              
  1171       C               A              
  1172       D               A              
  1173       C               B              
  1174       B               C              
  1175       A               D              
  1176       D               C              
  1177       A               C              
  1179       D               C              
  1180       B               A              
  1181       B               D              
  1182       C               A              
  1183       C               B              
  1184       C               A              
  1185       B               A              
  1187       A               C              
  1188       C               D              
  1189       C               D              
  1190       B               A              
  1191       B               A              
  1192       B               A              
  1193       B               A              
  1194       D               C              
  1195       D               A              
  1196       A               D              
  1199       C               A              
  1200       D               A              
  1201       A               B              
  1202       C               A              
  1205       A               B              
  1206       B               A              
  1207       A               C              
  1208       B               A              
  1209       D               A              
  1211       B               D              
  1212       C               A              
  1215       B               C              
  1216       D               C              
  1217       C               D              
  1218       B               A              
  1219       B               D              
  1220       B               C              
  1222       D               C              
  1224       A               B              
  1226       D               A              
  1227       A               C              
  1228       D               B              
  1229       C               A              
  1230       B               C              
  1231       D               C              
  1233       D               C              
  1235       B               C              
  1236       D               C              
  1238       A               C              
  1239       D               B              
  1242       D               C              
  1244       D               C              
  1245       A               C              
  1246       B               A              
  1248       B               C              
  1249       C               B              
  1250       A               C              
  1251       D               C              
  1252       D               C              
  1253       B               D              
  1254       D               B              
  1255       B               C              
  1256       C               A              
  1257       B               C              
  1258       B               D              
  1259       A               B              
  1260       C               A              
  1263       B               C              
  1265       A               D              
  1266       D               C              
  1268       B               D              
  1269       C               A              
  1270       D               A              
  1272       B               C              
  1273       B               A              
  1274       D               C              
  1276       D               B              
  1278       D               A              
  1279       B               A              
  1281       C               A              
  1282       D               B              
  1283       D               B              
  1284       D               C              
  1285       C               A              
  1286       B               A              
  1287       A               B              
  1288       B               C              
  1289       C               D              
  1291       D               A              
  1292       D               A              
  1293       C               A              
  1295       B               A              
  1296       B               A              
  1297       A               B              
  1302       B               A              
  1303       B               A              
  1305       B               C              
  1306       B               D              
  1308       D               B              
  1309       D               A              
  1310       A               B              
  1312       B               A              
  1313       B               A              
  1314       C               A              
  1316       B               A              
  1317       A               D              
  1318       D               C              
  1319       C               B              
  1320       D               B              
  1321       A               D              
  1322       B               C              
  1323       D               B              
  1324       A               B              
  1325       B               C              
  1326       C               B              
  1328       D               A              
  1330       C               A              
  1331       D               A              
  1332       B               C              
  1334       D               B              
  1335       C               D              
  1336       D               A              
  1337       D               C              
  1338       A               B              
  1340       B               C              
  1341       A               B              
  1342       B               A              
  1343       D               A              
  1344       A               C              
  1345       B               A              
  1347       C               A              
  1349       A               C              
  1350       B               A              
  1352       B               C              
  1353       D               B              
  1354       B               A              
  1355       B               A              
  1356       B               A              
  1357       B               D              
  1358       D               C              
  1360       B               D              
  1361       B               A              
  1362       D               C              
  1363       C               A              
  1365       C               B              
  1366       A               C              
  1367       A               C              
  1368       D               A              
  1369       C               D              
  1372       A               B              
  1373       C               A              
  1375       D               A              
  1376       B               D              
  1377       A               B              
  1378       D               C              
  1380       D               A              
  1382       A               C              
  1383       B               A              
  1384       A               C              
  1386       A               D              
  1387       A               C              
  1388       C               B              
  1390       D               A              
  1393       B               A              
  1394       A               C              
  1395       D               B              
  1396       C               D              
  1397       C               A              
  1398       A               C              
  1399       B               A              
  1400       B               C              
  1401       B               A              
  1402       D               C              
  1405       B               A              
  1406       B               C              
  1407       C               B              
  1408       C               A              
  1409       A               C              
  1410       A               B              
  1412       D               C              
  1413       C               A              
  1414       C               A              
  1415       A               C              
  1416       A               C              
  1417       D               A              
  1418       D               A              
  1419       C               D              
  1421       D               A              
  1422       C               A              
  1424       D               C              
  1425       D               A              
  1426       D               A              
  1427       C               A              
  1428       C               D              
  1430       B               C              
  1432       B               C              
  1433       C               D              
  1434       A               B              
  1435       B               A              
  1436       C               A              
  1437       B               C              
  1438       B               D              
  1440       B               D              
  1441       D               C              
  1442       A               C              
  1443       B               A              
  1444       B               C              
  1445       A               C              
  1446       D               A              
  1447       B               A              
  1448       C               A              
  1449       B               D              
  1450       C               D              
  1451       B               D              
  1452       A               C              
  1453       B               A              
  1454       D               C              
  1455       B               A              
  1456       A               C              
  1457       A               C              
  1458       A               B              
  1459       C               D              
  1461       D               C              
  1462       D               B              
  1463       B               D              
  1464       C               A              
  1465       D               A              
  1467       B               A              
  1468       B               C              
  1469       D               C              
  1470       B               A              
  1471       C               B              
  1472       D               A              
  1473       D               B              
  1475       C               D              
  1476       A               C              
  1477       D               A              
  1478       D               B              
  1479       B               A              
  1480       B               A              
  1481       D               C              
  1482       C               A              
  1484       A               D              
  1485       A               C              
  1486       C               D              
  1487       A               D              
  1488       B               C              
  1489       B               C              
  1490       C               D              
  1491       C               D              
  1492       D               A              
  1493       C               A              
  1494       C               A              
  1495       B               A              
  1496       B               D              
  1497       B               A              
  1498       B               D              
  1499       A               C              
  1500       D               B              
  1501       B               A              
  1502       C               A              
  1503       D               C              
  1504       B               D              
  1505       D               A              
  1506       C               D              
  1507       D               C              
  1508       B               A              
  1509       A               D              
  1510       C               A              
  1511       B               D              
  1512       A               C              
  1513       B               C              
  1514       C               A              
  1515       B               A              
  1516       B               C              
  1517       D               C              
  1518       B               A              
  1520       B               D              
  1521       C               D              
  1523       C               D              
  1524       B               D              
  1526       B               A              
  1527       A               B              
  1529       D               A              
  1530       C               D              
  1532       B               C              
  1533       A               C              
  1534       A               B              
  1535       B               A              
  1536       D               C              
  1537       C               A              
  1538       C               D              
  1539       B               D              
  1540       D               C              
  1541       B               A              
  1542       A               B              
  1544       D               B              
  1545       B               D              
  1546       B               A              
  1548       B               D              
  1549       B               A              
  1550       B               A              
  1551       B               A              
  1552       C               A              
  1553       C               D              
  1554       C               B              
  1555       A               D              
  1556       B               A              
  1557       C               D              
  1558       C               B              
  1560       B               D              
  1561       C               B              
  1563       A               B              
  1564       C               D              
  1565       A               B              
  1566       C               B              
  1567       D               A              
  1568       A               C              
  1569       C               B              
  1570       D               C              
  1571       D               C              
  1572       D               A              
  1577       B               A              
  1578       C               D              
  1579       A               D              
  1580       D               B              
  1583       B               C              
  1584       A               D              
  1587       C               A              
  1589       A               C              
  1590       B               A              
  1591       D               B              
  1592       B               A              
  1593       D               C              
  1594       B               A              
  1598       C               A              
  1600       A               B              
  1601       C               A              
  1602       A               C              
  1604       D               A              
  1606       C               D              
  1607       C               A              
  1608       B               A              
  1609       D               C              
  1610       C               D              
  1611       C               D              
  1612       B               D              
  1613       C               A              
  1614       C               A              
  1616       B               A              
  1617       A               D              
  1619       C               B              
  1621       C               A              
  1622       C               D              
  1623       A               B              
  1624       B               A              
  1625       B               A              
  1626       A               D              
  1627       D               C              
  1628       A               D              
  1629       C               A              
  1631       B               D              
  1633       B               A              
  1636       D               B              
  1638       D               C              
  1639       B               C              
  1640       B               C              
  1641       A               C              
  1642       D               C              
  1643       A               C              
  1645       C               A              
  1646       D               A              
  1647       D               B              
  1648       A               D              
  1651       B               A              
  1652       C               A              
  1653       D               A              
  1654       B               C              
  1655       C               D              
  1657       B               A              
  1658       B               A              
  1659       A               D              
  1660       C               A              
  1661       D               A              
  1662       D               B              
  1663       D               A              
  1664       D               C              
  1666       B               C              
  1668       A               D              
  1669       D               A              
  1671       D               A              
  1672       B               A              
  1673       A               C              
  1674       D               C              
  1675       B               A              
  1677       B               A              
  1678       B               A              
  1679       C               A              
  1680       B               D              
  1681       D               C              
  1682       D               A              
  1684       B               D              
  1686       D               A              
  1688       A               D              
  1689       C               B              
  1690       B               A              
  1691       B               A              
  1692       D               A              
  1694       B               D              
  1696       D               C              
  1697       D               B              
  1698       D               A              
  1699       B               D              
  1700       B               C              
  1701       B               D              
  1702       C               A              
  1703       D               A              
  1704       C               B              
  1706       B               C              
  1707       C               A              
  1708       D               C              
  1709       B               C              
  1710       D               A              
  1711       B               C              
  1713       D               C              
  1715       B               C              
  1716       C               A              
  1717       D               C              
  1720       D               A              
  1722       C               A              
  1723       D               A              
  1724       A               D              
  1725       C               A              
  1726       A               C              
  1728       D               B              
  1730       D               A              
  1731       B               D              
  1732       A               D              
  1733       A               D              
  1734       D               A              
  1735       B               A              
  1738       A               D              
  1739       D               B              
  1741       B               C              
  1742       B               C              
  1743       B               C              
  1744       B               C              
  1746       D               C              
  1747       D               A              
  1748       B               C              
  1749       D               B              
  1750       B               D              
  1751       B               D              
  1752       B               A              
  1753       C               D              
  1754       B               C              
  1755       A               B              
  1756       A               C              
  1757       A               B              
  1759       D               A              
  1761       B               C              
  1763       B               C              
  1764       B               C              
  1766       D               B              
  1767       D               C              
  1768       A               B              
  1769       A               D              
  1770       D               A              
  1771       C               A              
  1772       D               B              
  1773       D               C              
  1774       C               A              
  1775       A               B              
  1776       B               D              
  1777       C               A              
  1778       C               B              
  1780       C               B              
  1782       B               A              
  1783       A               D              
  1784       A               C              
  1785       A               B              
  1786       C               B              
  1788       B               C              
  1789       C               A              
  1790       D               A              
  1791       B               A              
  1792       C               D              
  1793       D               A              
  1794       B               D              
  1795       C               A              
  1796       B               A              
  1798       C               A              
  1799       D               A              
  1800       B               C              
  1801       D               C              
  1802       B               A              
  1804       C               D              
  1805       D               A              
  1808       D               A              
  1809       D               A              
  1810       B               C              
  1811       C               A              
  1812       C               B              
  1814       A               C              
  1815       B               A              
  1818       D               B              
  1821       D               B              
  1822       D               C              
  1825       D               A              
  1826       A               B              
  1828       B               D              
  1829       D               A              
  1830       C               A              
  1831       B               C              
  1832       B               A              
  1833       D               A              
  1834       B               C              
  1835       C               B              
  1837       B               C              
  1838       D               C              
  1840       B               C              
  1844       B               A              
  1845       B               A              
  1846       D               C              
  1847       D               A              
  1849       A               C              
  1852       D               A              
  1853       C               D              
  1854       B               A              
  1858       D               B              
  1859       D               C              
  1861       A               D              
  1862       D               B              
  1863       B               A              
  1864       B               C              
  1865       C               B              
  1866       B               A              
  1867       C               B              
  1868       C               D              
  1869       C               A              
  1870       B               A              
  1871       C               A              
  1872       B               A              
  1873       A               C              
  1875       C               B              
  1876       C               B              
  1877       B               A              
  1879       C               D              
  1880       B               C              
  1881       B               A              
  1882       C               A              
  1885       C               A              
  1886       B               A              
  1887       D               C              
  1888       A               D              
  1889       B               A              
  1894       B               A              
  1895       A               D              
  1897       D               A              
  1898       D               C              
  1899       B               A              
  1900       B               C              
  1901       D               C              
  1902       C               A              
  1903       B               C              
  1905       A               D              
  1906       B               C              
  1907       D               A              
  1908       D               B              
  1909       D               B              
  1910       D               A              
  1911       A               C              
  1912       C               A              
  1913       C               A              
  1914       B               A              
  1915       C               D              
  1916       B               D              
  1917       C               A              
  1919       C               A              
  1920       B               A              
  1921       B               A              
  1922       B               A              
  1926       B               C              
  1929       B               C              
  1930       B               C              
  1931       A               D              
  1932       B               D              
  1934       A               B              
  1937       C               A              
  1938       C               D              
  1939       D               B              
  1941       D               C              
  1943       C               A              
  1945       A               B              
  1946       C               D              
  1951       D               C              
  1952       A               C              
  1953       B               C              
  1954       A               C              
  1955       B               A              
  1956       A               B              
  1959       D               C              
  1960       B               C              
  1961       C               D              
  1964       B               C              
  1966       B               A              
  1968       A               B              
  1969       A               D              
  1970       D               B              
  1971       B               D              
  1972       B               D              
  1973       B               C              
  1975       C               A              
  1976       A               D              
  1977       B               A              
  1979       C               A              
  1980       B               A              
  1982       D               A              
  1983       C               B              
  1984       B               D              
  1985       D               A              
  1986       D               A              
  1987       B               A              
  1990       B               A              
  1991       D               A              
  1993       C               D              
  1995       B               A              
  1997       B               D              
  1999       A               C              

--------------------------------------------------

Dataset: CWE
  Total questions: 2000
  Correct answers: 513
  Incorrect answers: 1487
  Accuracy: 25.65%

  Incorrect Answers:
  Question   Ground Truth    Model Answer   
  ----------------------------------------
  1          A               B              
  3          C               D              
  4          A               D              
  5          C               A              
  6          B               A              
  7          C               A              
  8          A               C              
  9          D               A              
  10         C               A              
  11         B               A              
  12         B               C              
  13         B               A              
  15         D               C              
  16         B               C              
  17         A               B              
  18         D               A              
  19         C               A              
  20         D               A              
  21         D               A              
  22         C               D              
  23         A               D              
  24         C               D              
  25         B               C              
  27         C               D              
  29         B               A              
  31         C               B              
  32         C               D              
  33         B               A              
  34         B               A              
  36         C               A              
  37         C               D              
  38         C               B              
  39         C               A              
  41         B               D              
  42         A               C              
  43         A               D              
  46         A               B              
  48         C               D              
  49         A               B              
  50         B               A              
  51         D               C              
  52         A               D              
  53         A               B              
  54         D               A              
  58         C               A              
  59         A               C              
  60         B               A              
  61         A               D              
  62         A               C              
  63         A               D              
